Date,future_median,future_p25,future_p75
2025-11-14,6.176746091364588e-06,5.547152143847592e-06,6.786011981491249e-06
2025-11-15,6.081636739067259e-06,5.378866400129372e-06,6.914753933561408e-06
2025-11-16,6.0531921273863316e-06,5.262731417044538e-06,7.151755864336094e-06
2025-11-17,5.932400166826632e-06,5.0393082507937565e-06,7.253757269614373e-06
2025-11-18,5.853752005457422e-06,4.806491261428782e-06,7.276738709454133e-06
2025-11-19,5.806658807424643e-06,4.614403063704038e-06,7.395341596204189e-06
2025-11-20,5.763565247165515e-06,4.335601105214055e-06,7.350959138842103e-06
2025-11-21,5.542086742217444e-06,4.287956282475361e-06,7.3867439351553185e-06
2025-11-22,5.41300922250865e-06,4.1307847524659495e-06,7.247322150285589e-06
2025-11-23,5.371518535851598e-06,3.905996821086374e-06,7.121818917902394e-06
2025-11-24,5.143936221727576e-06,3.7561416597228574e-06,7.5024251848277225e-06
2025-11-25,5.001744613834345e-06,3.5726394859799573e-06,7.3231326394292074e-06
2025-11-26,5.004726467367548e-06,3.4275542889781378e-06,7.133030971531621e-06
2025-11-27,4.819470050433773e-06,3.3504396442895133e-06,6.95136337813733e-06
2025-11-28,4.708570538938523e-06,3.2060139991181e-06,6.9605369055872675e-06
2025-11-29,4.653994654156906e-06,2.9810693912422516e-06,6.961389769809943e-06
2025-11-30,4.601173140371893e-06,3.050497162881737e-06,6.968022153676312e-06
2025-12-01,4.387135885169437e-06,2.9462263366837725e-06,7.1300074143065585e-06
2025-12-02,4.217611197193931e-06,2.8477589052237996e-06,7.00987967339457e-06
2025-12-03,4.282319777654476e-06,2.8277905433253423e-06,6.838419548632615e-06
2025-12-04,4.138505607293309e-06,2.7810118263320577e-06,6.890008430787348e-06
2025-12-05,4.083176248242873e-06,2.688373088612144e-06,6.571665127051046e-06
2025-12-06,3.984700634372513e-06,2.5640801943482573e-06,6.561958670132292e-06
2025-12-07,3.947012970404867e-06,2.5133534206136266e-06,6.454861489214579e-06
2025-12-08,3.946312887706831e-06,2.4272687600532824e-06,6.2708159012640195e-06
