Date,Price_in_BTC
2024-05-31,4.4746432162909816e-05
2024-06-03,3.8660105264569657e-05
2024-06-04,4.1378667022149255e-05
2024-06-05,3.8405904648572486e-05
2024-06-06,3.801735262940124e-05
2024-06-07,3.922553495570276e-05
2024-06-10,3.8842057822461634e-05
2024-06-11,4.158496187230776e-05
2024-06-12,4.278940890783803e-05
2024-06-13,4.1643947793147006e-05
2024-06-14,4.0902216495749485e-05
2024-06-17,4.16602137622282e-05
2024-06-18,4.175573955962415e-05
2024-06-20,4.488755828300372e-05
2024-06-21,4.571253993949913e-05
2024-06-24,5.1097081246924216e-05
2024-06-25,4.967264435481536e-05
2024-06-26,4.900406880500697e-05
2024-06-27,4.528867761069346e-05
2024-06-28,4.55900823438483e-05
2024-07-01,4.0889720802363605e-05
2024-07-02,3.546727326746475e-05
2024-07-03,4.0881497524079617e-05
2024-07-05,3.9708889717383006e-05
2024-07-08,3.967897231461705e-05
2024-07-09,4.223466149896085e-05
2024-07-10,4.364203405469471e-05
2024-07-11,4.342146204671092e-05
2024-07-12,4.145116197263958e-05
2024-07-15,3.62262122058818e-05
2024-07-16,3.640712293003936e-05
2024-07-17,3.665071963812393e-05
2024-07-18,4.3611421292745217e-05
2024-07-19,4.3021933194154106e-05
2024-07-22,4.424042242259581e-05
2024-07-23,4.611113778773988e-05
2024-07-24,4.925646280879065e-05
2024-07-25,2.9949575735583517e-05
2024-07-26,2.650486358467296e-05
2024-07-29,2.3795301979757032e-05
2024-07-30,2.5377253380286223e-05
2024-07-31,2.6617455767596023e-05
2024-08-01,2.555177228450684e-05
2024-08-02,2.637789225940672e-05
2024-08-05,2.805999446945857e-05
2024-08-06,2.7304695934848884e-05
2024-08-07,2.715007984350232e-05
2024-08-08,2.446923748273691e-05
2024-08-09,2.5952646237962186e-05
2024-08-12,2.6939820168262326e-05
2024-08-13,2.6233483056474095e-05
2024-08-14,2.74953197931258e-05
2024-08-15,2.831822845343348e-05
2024-08-16,2.784658961439004e-05
2024-08-19,2.8910744599013045e-05
2024-08-20,2.904454950227829e-05
2024-08-21,2.8279437780340805e-05
2024-08-22,2.81541265141758e-05
2024-08-23,2.5852509687041862e-05
2024-08-26,2.5922119633943048e-05
2024-08-27,2.487222229986996e-05
2024-08-28,2.3158647900665777e-05
2024-08-29,2.05428089399247e-05
2024-08-30,2.0297880114264853e-05
2024-09-03,2.0372263753194687e-05
2024-09-04,2.190730143557699e-05
2024-09-05,2.3682131042998502e-05
2024-09-06,2.4745706647217152e-05
2024-09-09,2.3149961654982037e-05
2024-09-10,2.229017693066086e-05
2024-09-11,2.232175042880413e-05
2024-09-12,2.1332595171699788e-05
2024-09-13,2.096702505222812e-05
2024-09-16,2.173819333875069e-05
2024-09-17,2.1058377481344143e-05
2024-09-18,2.0648931322273525e-05
2024-09-19,2.0225464859197048e-05
2024-09-20,1.8989452830994203e-05
2024-09-23,1.9422136243915856e-05
2024-09-24,1.8817464871897456e-05
2024-09-25,1.9447875995706022e-05
2024-09-26,1.7413044451062925e-05
2024-09-27,1.6856494509943572e-05
2024-09-30,1.6579950138818153e-05
2024-10-01,1.742360416617574e-05
2024-10-02,1.711945088663369e-05
2024-10-03,1.678752491928413e-05
2024-10-04,1.664317690329181e-05
2024-10-07,1.7513793809662517e-05
2024-10-08,1.730188290039845e-05
2024-10-09,2.26139399168086e-05
2024-10-10,2.123617734514215e-05
2024-10-11,2.2259556182446705e-05
2024-10-14,1.816912116621097e-05
2024-10-15,1.849611411709643e-05
2024-10-16,1.7748140732526242e-05
2024-10-17,1.8100934692801595e-05
2024-10-18,2.1631485142502573e-05
2024-10-21,1.9890793639684747e-05
2024-10-22,1.8556619726150683e-05
2024-10-23,1.670876611985537e-05
2024-10-24,1.555140171523686e-05
2024-10-25,1.5305567712026694e-05
2024-10-28,1.270245305000057e-05
2024-10-29,1.3751282065330835e-05
2024-10-30,1.4238409378028658e-05
2024-10-31,1.4384352252327984e-05
2024-11-01,1.3960356418830176e-05
2024-11-04,1.3714486481026549e-05
2024-11-05,1.2975860050416873e-05
2024-11-06,1.1237577782705927e-05
2024-11-07,1.1198229347116262e-05
2024-11-08,1.1248215310639526e-05
2024-11-11,9.774357102324834e-06
2024-11-12,1.0266518737905776e-05
2024-11-13,9.118591353722222e-06
2024-11-14,1.0555821984068062e-05
2024-11-15,1.0102562292875856e-05
2024-11-18,9.829622590542657e-06
2024-11-19,8.966493767106526e-06
2024-11-20,9.646013616624266e-06
2024-11-21,9.847243502521444e-06
2024-11-22,1.0909348752244396e-05
2024-11-25,1.6003901724757992e-05
2024-11-26,2.054675658326811e-05
2024-11-27,1.1254393030773084e-05
2024-11-29,1.2004737006137113e-05
2024-12-02,1.1891684790561474e-05
2024-12-03,1.6457962779742356e-05
2024-12-04,1.7920687475308727e-05
2024-12-05,1.728893498482211e-05
2024-12-06,1.591261729886149e-05
2024-12-09,1.406098508123968e-05
2024-12-10,1.5722712439343288e-05
2024-12-11,1.2849273529266567e-05
2024-12-12,1.3194326963926384e-05
2024-12-13,1.281302446267374e-05
2024-12-16,1.0846015529567196e-05
2024-12-17,1.0222290265691398e-05
2024-12-18,1.1495224752986764e-05
2024-12-19,1.1795966079884831e-05
2024-12-20,1.1457105552049035e-05
2024-12-23,1.172292815367058e-05
2024-12-24,1.0742216300790087e-05
2024-12-26,1.1587181373398604e-05
2024-12-27,1.2212623517849778e-05
2024-12-30,1.4248211381000175e-05
2024-12-31,1.3272081619680872e-05
2025-01-02,1.4532412077183888e-05
2025-01-03,1.5595148871632397e-05
2025-01-06,1.3685601001890428e-05
2025-01-07,1.6920700030206522e-05
2025-01-08,1.7150037543626062e-05
2025-01-10,1.510008453260376e-05
2025-01-13,1.525659195902174e-05
2025-01-14,1.4606245280975112e-05
2025-01-15,1.44769652703773e-05
2025-01-16,1.4535334967685165e-05
2025-01-17,1.4100816553176446e-05
2025-01-21,1.3585028384942322e-05
2025-01-22,1.4133686816626116e-05
2025-01-23,1.3466695474892816e-05
2025-01-24,1.2783883085940823e-05
2025-01-27,1.234233061125277e-05
2025-01-28,1.3322481297584815e-05
2025-01-29,1.2825061354338492e-05
2025-01-30,1.250772074123624e-05
2025-01-31,1.2694689270880371e-05
2025-02-03,1.1833687247639744e-05
2025-02-04,1.2363109568040128e-05
2025-02-05,1.2523877877219952e-05
2025-02-06,1.2692391615426058e-05
2025-02-07,1.2949464794573332e-05
2025-02-10,1.2828729169250789e-05
2025-02-11,1.485157413818685e-05
2025-02-12,3.3508414722336095e-05
2025-02-13,2.587352455215557e-05
2025-02-14,2.963830037330976e-05
2025-02-18,2.8051211821881503e-05
2025-02-19,2.7940011608000643e-05
2025-02-20,3.0406592937832304e-05
2025-02-21,2.4551224641298824e-05
2025-02-24,2.3080749175130287e-05
2025-02-25,2.174986712596354e-05
2025-02-26,2.27631027016306e-05
2025-02-27,2.219487824311162e-05
2025-02-28,1.991158062399925e-05
2025-03-03,1.9752358991082537e-05
2025-03-04,1.971975163486549e-05
2025-03-05,1.9531344079819348e-05
2025-03-06,1.9008083809496115e-05
2025-03-07,1.902177948283475e-05
2025-03-10,1.9609840088792176e-05
2025-03-11,1.713688231364851e-05
2025-03-12,1.7080263363611314e-05
2025-03-13,1.7886505701951426e-05
2025-03-14,1.7863713819583003e-05
2025-03-17,1.8673651077216435e-05
2025-03-18,1.922181898098492e-05
2025-03-19,1.692491070140867e-05
2025-03-20,1.734642615482451e-05
2025-03-21,1.796694119789495e-05
2025-03-24,2.491459568515376e-05
2025-03-25,2.3779117696309916e-05
2025-03-26,1.967759109923568e-05
2025-03-27,2.385947555522751e-05
2025-03-28,2.252435162590184e-05
2025-03-31,1.9503588055515062e-05
2025-04-01,1.866872717410229e-05
2025-04-02,1.8912365851602635e-05
2025-04-03,1.8771923627352976e-05
2025-04-04,1.7651870935362438e-05
2025-04-07,1.8047502804504817e-05
2025-04-08,2.1370896226562683e-05
2025-04-09,2.1193123663958046e-05
2025-04-10,2.160094681356697e-05
2025-04-11,2.062230576053316e-05
2025-04-14,1.963511978250732e-05
2025-04-15,2.0318160924826973e-05
2025-04-16,1.9753939955155643e-05
2025-04-17,2.0613517166642618e-05
2025-04-21,1.6796371111073265e-05
2025-04-22,1.765803287071646e-05
2025-04-23,1.8996978554682982e-05
2025-04-24,1.820237306804056e-05
2025-04-25,1.910885122839872e-05
2025-04-28,1.8846320485930036e-05
2025-04-29,1.9091095925590825e-05
2025-04-30,1.9955987973137736e-05
2025-05-01,1.9483412614752552e-05
2025-05-02,2.239189456055989e-05
2025-05-05,2.860217074730612e-05
2025-05-06,3.16107609168849e-05
2025-05-07,3.1845058473483174e-05
2025-05-08,3.661319722778909e-05
2025-05-09,3.7874796956498486e-05
